ID,Crash ID,crash_fatal_fl,case_id,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,Crash timestamp (US/Central),Crash timestamp,Is deleted,Is temporary record,Law enforcement fatality count,Reported street prefix,Estimated Maximum Comprehensive Cost,Estimated Total Comprehensive Cost,Location ID,Location group,Address,Collision type,Crash Date,Crash Hour,Crash Day,Crash Month,Is_Weekend,Severity_Label,Is_Severe,Highway_Type,Road_Type_Label,Road_Name,Num_Lanes,Speed_Limit,Road_Risk_Level,Is_Intersection,Intersection_Degree,Road_Curvature,Temperature,Precipitation,Windspeed,Visibility,Weather_Code,Weather_Condition,is_wet
"1,662","13,671,385",False,140190466,1800,LAVACA,ST,30,False,30.28029478,-97.74091246,0,0,0,0,0,1,0,0,Large passenger vehicle & Motor vehicle – other & Passenger car,POINT (-97.74091246 30.28029478),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-19 05:31:00,2014 Jan 19 11:31:00 AM,False,False,0,,"20,000","20,000",8C385085D8,1.0,LAVACA ST & W 18TH ST,ONE MOTOR VEHICLE - GOING STRAIGHT,2014-01-19,5,Sunday,1,True,Unknown,0,residential,Residential Street,West 18th Street,,,1,True,4,1.0,7.4,0.0,13.5,,0,Clear,False
"1,502","13,668,485",False,140181910,677,MAIRO ST,ST,-1,False,30.18303,-97.79486,5,0,0,0,1,0,0,0,Large passenger vehicle,POINT (-97.79486 30.18303),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-18 23:04:00,2014 Jan 19 05:04:00 AM,False,False,0,,"20,000","20,000",,,MAIRO ST & BOGGY RIDGE DR,ONE MOTOR VEHICLE - GOING STRAIGHT,2014-01-18,23,Saturday,1,True,Not Injured,0,residential,Residential Street,Boggy Ridge Drive,,,1,True,6,1.0002,10.8,0.0,9.8,,0,Clear,False
"1,246","13,664,757",False,C314-0122-001,3400,SLAUGHTER LN,LN,45,False,30.18259813,-97.84770744,3,0,0,1,3,0,1,0,Large passenger vehicle & Passenger car,POINT (-97.84770744 30.18259813),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-22 08:34:00,2014 Jan 22 02:34:00 PM,False,False,0,,"200,000","260,000",3E0DF07E1A,1.0,3400 W SLAUGHTER LN,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,2014-01-22,8,Wednesday,1,False,Possible Injury,0,primary,Major City Road,West Slaughter Lane,3.0,40 mph,3,True,3,1.0,3.5,0.0,9.7,,1,Partly Cloudy,False
395,"13,642,976",False,14-00003,800,CAPITOL OF TEXAS,HWY,60,False,30.29077627,-97.82830325,5,0,0,0,2,0,0,0,Large passenger vehicle,POINT (-97.82830325 30.29077627),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-01-02 11:41:00,2014 Jan 02 05:41:00 PM,False,False,0,,"20,000","40,000",76BD3EA9EAE,1.0,STATE HIGHWAY 360 & W LAS CIMAS PKWY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,2014-01-02,11,Thursday,1,False,Not Injured,0,unclassified,Minor Local Road,Las Cimas Parkway,2.0,,1,True,4,,2.8,0.0,26.2,,0,Clear,False
"1,541","13,668,552",False,140210125,,RESEARCH SB TO CAP TX RAMP,,-1,False,30.39273844,-97.74691795,2,0,1,0,0,0,1,0,Passenger car,POINT (-97.74691795 30.39273844),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-21 02:26:00,2014 Jan 21 08:26:00 AM,False,False,0,,"250,000","250,000",76149D2153,1.0,RESEARCH SB TO CAP TX RAMP,ONE MOTOR VEHICLE - GOING STRAIGHT,2014-01-21,2,Tuesday,1,False,Non-Incapacitating Injury,0,secondary,City Connector Road,Research Boulevard,3.0,,3,True,3,1.0081,13.2,0.0,27.0,,0,Clear,False
"1,199","13,663,415",False,140291163,100,E SLAUGHTER LN,LN,35,False,30.16705929,-97.78618705,2,0,1,0,4,0,1,0,Large passenger vehicle & Motor vehicle – other & Passenger car,POINT (-97.78618705 30.16705929),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-01-29 16:23:00,2014 Jan 29 10:23:00 PM,False,False,0,,"250,000","330,000",5371D3B990,1.0,100 E SLAUGHTER LN,OPPOSITE DIRECTION - ONE BACKING-ONE STOPPED,2014-01-29,16,Wednesday,1,False,Non-Incapacitating Injury,0,motorway,Interstate / Freeway,Purple Heart Trail,3.0,70 mph,5,True,4,1.0002,7.1,0.0,12.9,,1,Partly Cloudy,False
"1,464","13,668,402",False,140171220,8100,NOT REPORTED,HWY,-1,False,30.34301379,-97.69769159,0,0,0,0,1,1,0,0,Large passenger vehicle & Motor vehicle – other,POINT (-97.69769159 30.34301379),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-01-17 15:49:00,2014 Jan 17 09:49:00 PM,False,False,0,,"20,000","40,000",,,8100 IH 35 SVRD,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,2014-01-17,15,Friday,1,False,Unknown,0,motorway,Interstate / Freeway,Purple Heart Trail,3.0,60 mph,5,True,3,1.0,14.6,0.0,11.8,,0,Clear,False
972,"13,658,774",False,140260128,5300,NOT REPORTED,,70,False,30.20269887,-97.76060357,5,0,0,0,1,0,0,0,Large passenger vehicle,POINT (-97.76060357 30.20269887),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-01-26 01:16:00,2014 Jan 26 07:16:00 AM,False,False,0,,"20,000","20,000",4289A33A4BB,2.0,IH 35 & BATTLE BEND BLVD,ONE MOTOR VEHICLE - GOING STRAIGHT,2014-01-26,1,Sunday,1,True,Not Injured,0,motorway,Interstate / Freeway,Purple Heart Trail,4.0,65 mph,5,True,4,1.0011,6.6,0.0,9.7,,2,Partly Cloudy,False
827,"13,653,539",False,140101581,600,KOENIG,LN,-1,False,30.32061466,-97.71580463,0,0,0,0,1,1,0,0,Large passenger vehicle & Passenger car,POINT (-97.71580463 30.32061466),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-01-10 19:17:00,2014 Jan 11 01:17:00 AM,False,False,0,,"20,000","40,000",29D9AEF6E388,1.0,600 E KOENIG LN,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,2014-01-10,19,Friday,1,False,Unknown,0,primary,Major City Road,East Koenig Lane,2.0,,3,True,3,1.0004,18.3,0.0,12.6,,3,Partly Cloudy,False
438,"13,643,712",False,140161060,8600,NOT REPORTED,BLVD,45,False,30.36329813,-97.71756022,2,0,2,0,1,0,2,0,Large passenger vehicle & Passenger car,POINT (-97.71756022 30.36329813),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-01-16 15:27:00,2014 Jan 16 09:27:00 PM,False,False,0,,"250,000","520,000",73FB6B66E6,1.0,STATE HIGHWAY 183 SVRD & OLEN RD,ANGLE - BOTH GOING STRAIGHT,2014-01-16,15,Thursday,1,False,Non-Incapacitating Injury,0,tertiary,Neighborhood Connector,Ohlen Road,3.0,,2,True,4,,18.2,0.0,7.3,,0,Clear,False
